temperature,pressure,flow_rate,valve_position,power_output,timestamp
400.72,4.0,2.93,44.19,150.0,1771519041.904
400.72,4.0,2.93,44.19,150.0,1771519041.904
400.72,4.0,2.93,44.19,150.0,1771519041.904
400.72,4.0,2.93,44.19,150.0,1771519041.904
405.97,4.0,3.0,42.95,150.0,1771519042.92
405.97,4.0,3.0,42.95,150.0,1771519042.92
405.97,4.0,3.0,42.95,150.0,1771519042.92
405.97,4.0,3.0,42.95,150.0,1771519042.92
407.9,4.05,2.98,41.84,150.0,1771519043.937
407.9,4.05,2.98,41.84,150.0,1771519043.937
407.9,4.05,2.98,41.84,150.0,1771519043.937
407.9,4.05,2.98,41.84,150.0,1771519043.937
407.9,4.05,2.98,41.84,150.0,1771519043.937
400.0,4.0,2.94,40.85,150.0,1771519044.953
400.0,4.0,2.94,40.85,150.0,1771519044.953
400.0,4.0,2.94,40.85,150.0,1771519044.953
400.0,4.0,2.94,40.85,150.0,1771519044.953
400.0,4.0,2.94,40.85,150.0,1771519044.953
407.95,4.0,2.94,39.95,150.0,1771519045.969
407.95,4.0,2.94,39.95,150.0,1771519045.969
407.95,4.0,2.94,39.95,150.0,1771519045.969
407.95,4.0,2.94,39.95,150.0,1771519045.969
403.22,4.07,2.97,39.14,151.05,1771519046.97
403.22,4.07,2.97,39.14,151.05,1771519046.97
403.22,4.07,2.97,39.14,151.05,1771519046.97
403.22,4.07,2.97,39.14,151.05,1771519046.97
403.22,4.07,2.97,39.14,151.05,1771519046.97
401.06,4.0,2.93,42.07,150.0,1771519047.972
401.06,4.0,2.93,42.07,150.0,1771519047.972
401.06,4.0,2.93,42.07,150.0,1771519047.972
401.06,4.0,2.93,42.07,150.0,1771519047.972
401.06,4.0,2.93,42.07,150.0,1771519047.972
400.0,4.03,2.92,44.71,152.93,1771519048.985
400.0,4.03,2.92,44.71,152.93,1771519048.985
400.0,4.03,2.92,44.71,152.93,1771519048.985
400.0,4.03,2.92,44.71,152.93,1771519048.985
405.95,4.0,2.97,47.08,150.0,1771519049.986
405.95,4.0,2.97,47.08,150.0,1771519049.986
405.95,4.0,2.97,47.08,150.0,1771519049.986
405.95,4.0,2.97,47.08,150.0,1771519049.986
405.95,4.0,2.97,47.08,150.0,1771519049.986
400.0,4.0,2.99,49.22,150.0,1771519050.986
400.0,4.0,2.99,49.22,150.0,1771519050.986
400.0,4.0,2.99,49.22,150.0,1771519050.986
400.0,4.0,2.99,49.22,150.0,1771519050.986
400.0,4.0,2.99,49.22,150.0,1771519050.986
402.73,4.0,2.93,51.15,151.73,1771519051.987
402.73,4.0,2.93,51.15,151.73,1771519051.987
402.73,4.0,2.93,51.15,151.73,1771519051.987
402.73,4.0,2.93,51.15,151.73,1771519051.987
405.56,4.01,3.0,52.88,151.92,1771519053.003
405.56,4.01,3.0,52.88,151.92,1771519053.003
405.56,4.01,3.0,52.88,151.92,1771519053.003
405.56,4.01,3.0,52.88,151.92,1771519053.003
405.56,4.01,3.0,52.88,151.92,1771519053.003
400.66,4.0,2.98,54.44,150.0,1771519054.004
400.66,4.0,2.98,54.44,150.0,1771519054.004
400.66,4.0,2.98,54.44,150.0,1771519054.004
400.66,4.0,2.98,54.44,150.0,1771519054.004
400.66,4.0,2.98,54.44,150.0,1771519054.004
407.78,4.0,3.0,55.84,150.0,1771519055.019
407.78,4.0,3.0,55.84,150.0,1771519055.019
407.78,4.0,3.0,55.84,150.0,1771519055.019
407.78,4.0,3.0,55.84,150.0,1771519055.019
410.5,4.0,2.94,57.1,150.76,1771519056.02
410.5,4.0,2.94,57.1,150.76,1771519056.02
410.5,4.0,2.94,57.1,150.76,1771519056.02
410.5,4.0,2.94,57.1,150.76,1771519056.02
410.5,4.0,2.94,57.1,150.76,1771519056.02
404.51,4.02,2.96,58.24,150.0,1771519057.036
404.51,4.02,2.96,58.24,150.0,1771519057.036
404.51,4.02,2.96,58.24,150.0,1771519057.036
404.51,4.02,2.96,58.24,150.0,1771519057.036
404.51,4.02,2.96,58.24,150.0,1771519057.036
402.23,4.0,2.99,59.13,152.59,1771519058.05
402.23,4.0,2.99,59.13,152.59,1771519058.05
402.23,4.0,2.99,59.13,152.59,1771519058.05
402.23,4.0,2.99,59.13,152.59,1771519058.05
400.0,4.0,2.99,59.94,150.55,1771519059.061
400.0,4.0,2.99,59.94,150.55,1771519059.061
400.0,4.0,2.99,59.94,150.55,1771519059.061
400.0,4.0,2.99,59.94,150.55,1771519059.061
400.0,4.0,2.99,59.94,150.55,1771519059.061
400.38,4.04,3.01,60.67,152.91,1771519060.075
400.38,4.04,3.01,60.67,152.91,1771519060.075
400.38,4.04,3.01,60.67,152.91,1771519060.075
400.38,4.04,3.01,60.67,152.91,1771519060.075
400.38,4.04,3.01,60.67,152.91,1771519060.075
400.0,4.01,3.0,61.32,151.61,1771519061.085
400.0,4.01,3.0,61.32,151.61,1771519061.085
400.0,4.01,3.0,61.32,151.61,1771519061.085
400.0,4.01,3.0,61.32,151.61,1771519061.085
400.0,4.0,3.01,61.91,150.0,1771519062.093
400.0,4.0,3.01,61.91,150.0,1771519062.093
400.0,4.0,3.01,61.91,150.0,1771519062.093
400.0,4.0,3.01,61.91,150.0,1771519062.093
400.0,4.0,3.01,61.91,150.0,1771519062.093
409.79,4.0,3.02,62.44,150.0,1771519063.098
409.79,4.0,3.02,62.44,150.0,1771519063.098
409.79,4.0,3.02,62.44,150.0,1771519063.098
409.79,4.0,3.02,62.44,150.0,1771519063.098
400.27,4.0,2.97,62.91,151.15,1771519064.099
400.27,4.0,2.97,62.91,151.15,1771519064.099
400.27,4.0,2.97,62.91,151.15,1771519064.099
400.27,4.0,2.97,62.91,151.15,1771519064.099
400.27,4.0,2.97,62.91,151.15,1771519064.099
405.76,4.0,2.91,63.34,150.0,1771519065.105
405.76,4.0,2.91,63.34,150.0,1771519065.105
405.76,4.0,2.91,63.34,150.0,1771519065.105
405.76,4.0,2.91,63.34,150.0,1771519065.105
405.76,4.0,2.91,63.34,150.0,1771519065.105
400.0,4.0,2.95,63.73,150.0,1771519066.118
400.0,4.0,2.95,63.73,150.0,1771519066.118
400.0,4.0,2.95,63.73,150.0,1771519066.118
400.0,4.0,2.95,63.73,150.0,1771519066.118
400.0,4.0,2.94,64.07,152.27,1771519067.13
400.0,4.0,2.94,64.07,152.27,1771519067.13
400.0,4.0,2.94,64.07,152.27,1771519067.13
400.0,4.0,2.94,64.07,152.27,1771519067.13
400.0,4.0,2.94,64.07,152.27,1771519067.13
402.05,4.02,3.01,64.39,152.06,1771519068.134
402.05,4.02,3.01,64.39,152.06,1771519068.134
402.05,4.02,3.01,64.39,152.06,1771519068.134
402.05,4.02,3.01,64.39,152.06,1771519068.134
402.05,4.02,3.01,64.39,152.06,1771519068.134
400.0,4.0,2.99,64.13,152.53,1771519069.152
400.0,4.0,2.99,64.13,152.53,1771519069.152
400.0,4.0,2.99,64.13,152.53,1771519069.152
400.0,4.0,2.99,64.13,152.53,1771519069.152
400.0,4.0,2.99,64.13,152.53,1771519069.152
400.0,4.0,3.01,63.89,150.88,1771519070.163
400.0,4.0,3.01,63.89,150.88,1771519070.163
400.0,4.0,3.01,63.89,150.88,1771519070.163
400.0,4.0,3.01,63.89,150.88,1771519070.163
400.0,4.0,3.01,63.68,150.0,1771519071.168
400.0,4.0,3.01,63.68,150.0,1771519071.168
400.0,4.0,3.01,63.68,150.0,1771519071.168
400.0,4.0,3.01,63.68,150.0,1771519071.168
400.0,4.0,3.01,63.68,150.0,1771519071.168
400.0,4.0,3.03,63.49,150.0,1771519072.176
400.0,4.0,3.03,63.49,150.0,1771519072.176
400.0,4.0,3.03,63.49,150.0,1771519072.176
400.0,4.0,3.03,63.49,150.0,1771519072.176
403.81,4.01,3.04,63.32,152.43,1771519073.177
403.81,4.01,3.04,63.32,152.43,1771519073.177
403.81,4.01,3.04,63.32,152.43,1771519073.177
403.81,4.01,3.04,63.32,152.43,1771519073.177
403.81,4.01,3.04,63.32,152.43,1771519073.177
405.63,4.0,3.01,63.17,150.88,1771519074.179
405.63,4.0,3.01,63.17,150.88,1771519074.179
405.63,4.0,3.01,63.17,150.88,1771519074.179
405.63,4.0,3.01,63.17,150.88,1771519074.179
405.63,4.0,3.01,63.17,150.88,1771519074.179
403.72,4.06,3.02,63.03,150.79,1771519075.194
403.72,4.06,3.02,63.03,150.79,1771519075.194
403.72,4.06,3.02,63.03,150.79,1771519075.194
403.72,4.06,3.02,63.03,150.79,1771519075.194
400.0,4.01,3.03,62.9,150.0,1771519076.207
400.0,4.01,3.03,62.9,150.0,1771519076.207
400.0,4.01,3.03,62.9,150.0,1771519076.207
400.0,4.01,3.03,62.9,150.0,1771519076.207
400.0,4.01,3.03,62.9,150.0,1771519076.207
400.0,4.0,2.93,62.79,151.76,1771519077.222
400.0,4.0,2.93,62.79,151.76,1771519077.222
400.0,4.0,2.93,62.79,151.76,1771519077.222
400.0,4.0,2.93,62.79,151.76,1771519077.222
400.0,4.0,2.93,62.79,151.76,1771519077.222
400.0,4.0,3.02,62.69,150.0,1771519078.234
400.0,4.0,3.02,62.69,150.0,1771519078.234
400.0,4.0,3.02,62.69,150.0,1771519078.234
400.0,4.0,3.02,62.69,150.0,1771519078.234
402.17,4.06,3.02,62.6,151.35,1771519079.244
402.17,4.06,3.02,62.6,151.35,1771519079.244
402.17,4.06,3.02,62.6,151.35,1771519079.244
402.17,4.06,3.02,62.6,151.35,1771519079.244
402.17,4.06,3.02,62.6,151.35,1771519079.244
400.0,4.0,2.95,64.1,150.15,1771519080.245
400.0,4.0,2.95,64.1,150.15,1771519080.245
400.0,4.0,2.95,64.1,150.15,1771519080.245
400.0,4.0,2.95,64.1,150.15,1771519080.245
400.0,4.0,2.95,64.1,150.15,1771519080.245
400.0,4.0,2.93,65.44,150.0,1771519081.258
400.0,4.0,2.93,65.44,150.0,1771519081.258
400.0,4.0,2.93,65.44,150.0,1771519081.258
400.0,4.0,2.93,65.44,150.0,1771519081.258
400.0,4.0,2.93,65.44,150.0,1771519081.258
400.0,4.05,2.92,66.66,150.0,1771519082.265
400.0,4.05,2.92,66.66,150.0,1771519082.265
400.0,4.05,2.92,66.66,150.0,1771519082.265
400.0,4.05,2.92,66.66,150.0,1771519082.265
407.59,4.0,3.01,67.75,150.0,1771519083.265
407.59,4.0,3.01,67.75,150.0,1771519083.265
407.59,4.0,3.01,67.75,150.0,1771519083.265
407.59,4.0,3.01,67.75,150.0,1771519083.265
407.59,4.0,3.01,67.75,150.0,1771519083.265
400.0,4.07,3.0,68.73,150.0,1771519084.276
400.0,4.07,3.0,68.73,150.0,1771519084.276
400.0,4.07,3.0,68.73,150.0,1771519084.276
400.0,4.07,3.0,68.73,150.0,1771519084.276
402.59,4.03,2.97,69.61,150.0,1771519085.283
402.59,4.03,2.97,69.61,150.0,1771519085.283
402.59,4.03,2.97,69.61,150.0,1771519085.283
402.59,4.03,2.97,69.61,150.0,1771519085.283
402.59,4.03,2.97,69.61,150.0,1771519085.283
407.02,4.0,3.04,70.41,151.92,1771519086.298
407.02,4.0,3.04,70.41,151.92,1771519086.298
407.02,4.0,3.04,70.41,151.92,1771519086.298
407.02,4.0,3.04,70.41,151.92,1771519086.298
407.02,4.0,3.04,70.41,151.92,1771519086.298
400.0,4.0,2.95,71.13,150.0,1771519087.298
400.0,4.0,2.95,71.13,150.0,1771519087.298
400.0,4.0,2.95,71.13,150.0,1771519087.298
400.0,4.0,2.95,71.13,150.0,1771519087.298
400.0,4.05,3.04,71.77,150.0,1771519088.301
400.0,4.05,3.04,71.77,150.0,1771519088.301
400.0,4.05,3.04,71.77,150.0,1771519088.301
400.0,4.05,3.04,71.77,150.0,1771519088.301
400.0,4.05,3.04,71.77,150.0,1771519088.301
405.18,4.06,2.93,72.35,150.0,1771519089.311
405.18,4.06,2.93,72.35,150.0,1771519089.311
405.18,4.06,2.93,72.35,150.0,1771519089.311
405.18,4.06,2.93,72.35,150.0,1771519089.311
405.18,4.06,2.93,72.35,150.0,1771519089.311
400.0,4.06,2.98,71.57,152.94,1771519090.321
400.0,4.06,2.98,71.57,152.94,1771519090.321
400.0,4.06,2.98,71.57,152.94,1771519090.321
400.0,4.06,2.98,71.57,152.94,1771519090.321
400.0,4.0,3.01,70.86,151.05,1771519091.332
400.0,4.0,3.01,70.86,151.05,1771519091.332
400.0,4.0,3.01,70.86,151.05,1771519091.332
400.0,4.0,3.01,70.86,151.05,1771519091.332
400.0,4.0,3.01,70.86,151.05,1771519091.332
407.02,4.0,3.0,70.23,152.94,1771519092.333
407.02,4.0,3.0,70.23,152.94,1771519092.333
407.02,4.0,3.0,70.23,152.94,1771519092.333
407.02,4.0,3.0,70.23,152.94,1771519092.333
407.02,4.0,3.0,70.23,152.94,1771519092.333
400.0,4.02,2.96,69.66,151.16,1771519093.345
400.0,4.02,2.96,69.66,151.16,1771519093.345
400.0,4.02,2.96,69.66,151.16,1771519093.345
400.0,4.02,2.96,69.66,151.16,1771519093.345
400.0,4.05,3.03,69.14,150.0,1771519094.351
400.0,4.05,3.03,69.14,150.0,1771519094.351
400.0,4.05,3.03,69.14,150.0,1771519094.351
400.0,4.05,3.03,69.14,150.0,1771519094.351
400.0,4.05,3.03,69.14,150.0,1771519094.351
400.0,4.0,2.98,68.68,150.0,1771519095.363
400.0,4.0,2.98,68.68,150.0,1771519095.363
400.0,4.0,2.98,68.68,150.0,1771519095.363
400.0,4.0,2.98,68.68,150.0,1771519095.363
400.0,4.0,3.01,68.26,150.0,1771519096.376
400.0,4.0,3.01,68.26,150.0,1771519096.376
400.0,4.0,3.01,68.26,150.0,1771519096.376
400.0,4.0,3.01,68.26,150.0,1771519096.376
400.0,4.0,3.01,68.26,150.0,1771519096.376
405.59,4.07,3.03,67.89,150.0,1771519097.388
405.59,4.07,3.03,67.89,150.0,1771519097.388
405.59,4.07,3.03,67.89,150.0,1771519097.388
405.59,4.07,3.03,67.89,150.0,1771519097.388
405.59,4.07,3.03,67.89,150.0,1771519097.388
402.42,4.02,2.99,67.55,150.0,1771519098.4
402.42,4.02,2.99,67.55,150.0,1771519098.4
402.42,4.02,2.99,67.55,150.0,1771519098.4
402.42,4.02,2.99,67.55,150.0,1771519098.4
404.74,4.0,3.01,67.25,150.04,1771519099.405
404.74,4.0,3.01,67.25,150.04,1771519099.405
404.74,4.0,3.01,67.25,150.04,1771519099.405
404.74,4.0,3.01,67.25,150.04,1771519099.405
404.74,4.0,3.01,67.25,150.04,1771519099.405
